,adjClose,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,107.68,0.35,0.0025598,0.25598,137.08,2019-04-08,137.11,"April 08, 19",136.59,136.73,2215637,2215637,136.93
1,106.72,-0.53,-0.0038859,-0.38859,135.86,2019-04-09,136.66,"April 09, 19",135.6,136.39,3178271,3178271,136.04
2,107.4,0.78,0.0057374,0.57374,136.73,2019-04-10,137.19,"April 10, 19",135.74,135.95,2801188,2801188,136.55
3,107.97,-0.02,-0.0001454757,-0.01454757,137.46,2019-04-11,137.77,"April 11, 19",136.74,137.48,3077332,3077332,137.32
4,108.4,0.08,0.0005800464,0.05800464,138.0,2019-04-12,138.09,"April 12, 19",137.38,137.92,3032249,3032249,137.82
5,108.06,-0.48,-0.003477,-0.3477,137.57,2019-04-15,138.11,"April 15, 19",136.97,138.05,3768947,3768947,137.55
6,109.0,0.71,0.0051431,0.51431,138.76,2019-04-16,139.0,"April 16, 19",137.69,138.05,6591578,6591578,138.48
7,104.47,1.66,0.0126,1.26,132.99,2019-04-17,135.74,"April 17, 19",130.27,131.33,13101882,13101882,133.0
8,105.38,1.27,0.0095568,0.95568,134.16,2019-04-18,134.31,"April 18, 19",132.6,132.89,5188160,5188160,133.69
9,104.3,-0.51,-0.0038262,-0.38262,132.78,2019-04-22,134.38,"April 22, 19",132.39,133.29,4700724,4700724,133.18
10,105.47,1.23,0.009246,0.9246,134.26,2019-04-23,134.72,"April 23, 19",132.83,133.03,4667461,4667461,133.94
11,105.1,-0.62,-0.0046124,-0.46124,133.8,2019-04-24,135.1,"April 24, 19",133.63,134.42,2902545,2902545,134.17
12,104.11,-1.03,-0.0077119,-0.77119,132.53,2019-04-25,133.6,"April 25, 19",131.65,133.56,3043965,3043965,132.6
13,104.72,0.1,0.0007506944,0.07506944,133.31,2019-04-26,133.74,"April 26, 19",132.71,133.21,2426511,2426511,133.25
14,104.42,-0.1,-0.0007517101,-0.07517101,132.93,2019-04-29,133.49,"April 29, 19",132.71,133.03,3094382,3094382,133.04
15,105.34,1.11,0.0083465,0.83465,134.1,2019-04-30,134.26,"April 30, 19",132.58,132.99,4852185,4852185,133.65
16,105.56,0.01,7.44214e-05,0.00744214,134.38,2019-05-01,135.57,"May 01, 19",134.01,134.37,3194170,3194170,134.65
17,104.83,-0.87,-0.0064771,-0.64771,133.45,2019-05-02,135.07,"May 02, 19",133.28,134.32,3704304,3704304,133.93
18,105.32,0.52,0.0038934,0.38934,134.08,2019-05-03,134.8,"May 03, 19",133.49,133.56,2698575,2698575,134.12
19,105.42,1.99,0.0151,1.51,134.21,2019-05-06,134.5,"May 06, 19",131.84,132.22,2921792,2921792,133.51
20,103.36,-1.44,-0.0108,-1.08,131.59,2019-05-07,133.37,"May 07, 19",130.2,133.03,4944233,4944233,131.72
21,103.63,0.22,0.0016703,0.16703,131.93,2019-05-08,132.6,"May 08, 19",131.1,131.71,3994569,3994569,131.88
22,102.84,0.43,0.0033344,0.33344,129.39,2019-05-09,129.62,"May 09, 19",127.18,128.96,4385564,4385564,128.73
23,102.83,0.42,0.0032571,0.32571,129.37,2019-05-10,129.78,"May 10, 19",126.6,128.95,4160570,4160570,128.58
24,99.86,-1.78,-0.014,-1.4,125.64,2019-05-13,127.7,"May 13, 19",125.2,127.42,5186068,5186068,126.18
25,101.3,1.43,0.0113,1.13,127.45,2019-05-14,128.41,"May 14, 19",125.89,126.02,3431298,3431298,127.25
26,102.13,1.73,0.0136,1.36,128.49,2019-05-15,128.67,"May 15, 19",126.55,126.76,2668346,2668346,127.9
